Card_id,Deck_id,Deck_topic,Question,Answer
1,1,Sinatra,Sinatra is a Ruby gem,TRUE
2,1,Sinatra,Sinatra is a domain specific language,TRUE
3,1,Sinatra,The scope of Sinatra covers the entire MVC framework,FALSE
4,1,Sinatra,Sinatra only allows for GET and POST routes,FALSE
5,1,Sinatra,You can use Sinatra to deploy an app to the web,FALSE
6,1,Sinatra,Sinatra can only be run on Ruby 1.9 or higher,FALSE
7,1,Sinatra,Is Sinatra open source,Yes
8,1,Sinatra,Can I have multiple URLs trigger the same route/handler?,Yes
9,1,Sinatra,Sinatra is a web framework,TRUE
10,1,Sinatra,Sinatra apps follow an MVC framework,TRUE
11,2,JavaScript,NaN === NaN;,FALSE
12,2,JavaScript,Null is not an object,TRUE
13,2,JavaScript,"JavaScript has two distinct values for nothing, null and undefined.",TRUE
14,2,JavaScript,"The properties of an object can be accessed in two ways, via either the dot notation or the square bracket notation.",TRUE
15,2,JavaScript,JavaScript requires you to define a variable as 'var' after assigning it a value,FALSE
16,2,JavaScript,"JavaScript, when used as a server side language, is called Node.js",TRUE
17,2,JavaScript,JavaScript is a compiled language that runs on the Java virtual machine,FALSE
18,2,JavaScript,JavaScript employs a static type system,FALSE
19,2,JavaScript,blur() method is used to remove focus from the specified object.,TRUE
20,2,JavaScript,window.location.href property is used to redirect a visitor to another page,TRUE
21,3,ActiveRecord,ActiveRecord is the model in MVC,TRUE
22,3,ActiveRecord,ActiveReocrd is not an Object-Relational Mapping framework,FALSE
23,3,ActiveRecord,Naming convention in AR calls for your Database to use singular forms of what you've named your models,FALSE
24,3,ActiveRecord,ActiveRecord can automatically create CRUD methods,TRUE
25,3,ActiveRecord,"To build a database using ActiveRecord, you must first migrate your table before creating it",FALSE
26,3,ActiveRecord,"ActiveRecord code is database-agnostic (it can run in MySQL, PostgreSQL, Oracle, etc.)",TRUE
27,3,ActiveRecord,ActiveRecord is available in many languages (not just ruby),FALSE
28,3,ActiveRecord,ActiveRecord objects carry both persistent data and behavior which operates on that data,TRUE
29,3,ActiveRecord,ActiveRecord is open source,TRUE
30,3,ActiveRecord,To create Active Record models all you need to do is to subclass the ActiveRecord::Base class,TRUE
31,4,HTTP,"An HTTP request consists of a ""____ and _____"" pair",Request and response
32,4,HTTP,A POST request always writes new data to the database,TRUE
33,4,HTTP,The 200 HTTP code series is a collection of request failure messages,FALSE
34,4,HTTP,Request messages are sent via Uniform Resouce Locators (URLs),TRUE
35,4,HTTP,HTTPS is HTTP through a secure connection,TRUE
36,4,HTTP,The header of an HTTP request includes information about the version of HTTP running,TRUE
37,4,HTTP,HTTP is an acronym for hypertext trasnport protocol,FALSE
38,4,HTTP,"Most browsers iherently support GET, POST, PUT/PATCH, and DELETE requests",FALSE
39,4,HTTP,GET requests and responses consist of a body,FALSE
40,4,HTTP,POST requests and responses consist of a body,TRUE
41,5,CS Concepts,The operating system serves as an intermediary between the user and the computer hardware. ,TRUE
42,5,CS Concepts,It is impossible to run a program if its total memory requirements exceed available RAM,FALSE
43,5,CS Concepts,Cache memory helps to prevent bottlenecks between a CPU and random access memory.,TRUE
44,5,CS Concepts,Multitasking requires multiple processors.,FALSE
45,5,CS Concepts,binary search algorithms have an O(log(n)) meaning they are more efficient than linear search,TRUE
46,5,CS Concepts,a compiler can convert certain programming languages into machine code for the computer to execute,TRUE
47,5,CS Concepts,Recursion involves a function or method calling itself,TRUE
48,5,CS Concepts,A Queue is an abstract data type in which the last item added to a list is the first one removed,FALSE
49,5,CS Concepts,Prolog is a computer language which is used for artificial intelligence,TRUE
50,5,CS Concepts,A file is a named collection of bytes recorded on secondary storage.,TRUE
51,6,Agile,Agile development is a one way of managing IT development teams and projects.,TRUE
52,6,Agile,"In Agile Development projects, requirements are allowed to evolve, but the timescale is fixed.",TRUE
53,6,Agile,Agile development does not rely on close cooperation and collaboration between all team members and stakeholders.,FALSE
54,6,Agile,Continuous Integration is important for Agile because it helps to maintain the quality and bug free state of code-base,TRUE
55,6,Agile,"Features developed within an iteration (Sprint in Scrum), should not expected to be complete by the end of the Sprint.",FALSE
56,6,Agile,Agile only uses incremental method of development ,FALSE
57,6,Agile,An epic is an agile term for a customer described software feature that is itemized in the product backlog. Epics are subdivided into stories.,TRUE
58,6,Agile,In agile active user involvement is not imperative,FALSE
59,6,Agile,"In agile development, testing is integrated throughout the lifecycle; testing the software continuously throughout its development.",TRUE
60,6,Agile,An agile team communicates primarily through a collaborative platform such as slack,FALSE